Assignee,Blockchain ecosystem,Date Created,Description,Impact Area,Logo,Name,preJan20th) Upvotes,Reviewed?,Submitted by (email),Submitted by (name),Submitted by owner?,Subscribed,Topic,Upvotes,Web3
https://www.carbonx.ca/,,5/7/2022 11:03 AM,Investment for carbon mitigation,Carbon,,CarbonX,2,checked,,,,,"Accounting,Offsetting",0,Token
https://cascadiacarbon.com/,,5/7/2022 11:03 AM,"Cascadia Carbon is disrupting and democratizing voluntary carbon offsets. We’ve built CODEX, a custom, low-carbon blockchain designed for individuals and enterprises to buy, build, or excha Cascadia Carbon provides a platform for individuals to generate, purchase, store, and exchange carbon offsets to earn social and monetary credit while mitigating their climate impact. Individuals can purchase verified, high-quality offsets from our Marketplace or sell offsets they generate from their own low-carbon lifestyles.nge tokens backed by offset or sequestered carbon.",Carbon,,Cascadia Carbon,0,checked,,,,,"Marketplace,Offsetting",0,NFT
https://celo.org/,Celo,5/7/2022 11:03 AM,"Creating a more prosperous world with mission-aligned organizations. Enable a regenerative, ecological economy by creating natural-capital backed assets and putting them into circulation. Help your communities overcome inflation and build for their future by saving in stablecoins",Social justice,Celo Glyph Color.png (https://v5.airtableusercontent.com/v1/15/15/1675389600000/h6kjYvolCzFbxg_EzGEPTA/w67Mdx_i8OvyTLvv9hQltq2Sz69jLWvJ4dmEeGj4m8YKDeJFHLaxw4AzJFoD-AsEZtblZBLubeBeUOmmzgMsZXn9vb1aRIHXJ-uyiOjG3II/zxtjHcF2U9Clyr_De7K7m6hJZDas9Zqdjdgg8UcEYqw),Celo,166,checked,,,,,Currency,0,"""Blockchain (L1, L2)"",Stablecoin"
https://www.centree.org/,"Celo,Regen Network",5/7/2022 11:03 AM,"Turning forests into living assets instead oInvestors can get NFTs representing the conserved forests they finance. Carbon, biodiversity, and other values to be accounted for.",Nature,centree.png (https://v5.airtableusercontent.com/v1/15/15/1675389600000/hY4fy0OSbGt7lk14c8xXCQ/Frm3bf-Hby8JyY3LDkeH6ZdI7ZVKyspvqpuHnRvl-vspJGbpSU4p_0fsVMqAsUF-tj05tXT8c9zQpVwFLjPql9IOexjRcgYg13vtlaF2l1I/dr4Ogvml_9S44vrTFTmTIiKuPPaSV3SHQjKBysRfPHM),Centree.org,2,checked,,,,,"Investing,Currency",0,Token
https://www.changeblock.com/,Polygon,5/7/2022 11:03 AM,"Connecting project developers, climate assets, data and finance in a trustworthy, transparent climate ecosystem.",Carbon,,Changeblock,3,checked,,,,,Marketplace,0,
https://charitas.fund/,Binance Smart Chain,5/7/2022 11:03 AM,We help link artists and non-profits by creating clever campaigns and helping them navigate the blockchain world. Our future products include easy-to-donate tools for climate change projects with NFT badges and membership passes!,Investing,,"Charitas

",0,checked,,,,,"Fundraising,Marketplace",0,"Token,NFT"
https://www.chia.net/about/,Chia,5/7/2022 11:03 AM,"Chia Network is building a better blockchain and smart transaction platform which is more secure, more sustainable, and more powerful.",Energy,,Chia,0,checked,,,,,Mining,0,"""Blockchain (L1, L2)"""
https://citizendao.io/,Ethereum,5/7/2022 11:03 AM,"A social impact DAO for coordinating ideas, people, & crypto to solve humanity's biggest problems. ",Social justice,,Citizendao,0,checked,,,,,Community,0,Token
https://www.citydao.io/,Ethereum,5/7/2022 11:03 AM,The DAO for decentralized asset ownership,Social justice,,CityDAO,0,checked,,,,,"Community,Land",0,DAO
https://climatechaincoalition.org/,Not applicable,5/7/2022 11:03 AM,"The Climate Chain Coalition (CCC) is an open global initiative to support collaboration among members and stakeholders to advance blockchain (distributed ledger technology) and related digital solutions (e.g. IoT, big data) to help mobilize climate finance and enhance MRV (measurement, reporting and verification) to scale climate actions for mitigation and adaptation.",Carbon,image.png (https://v5.airtableusercontent.com/v1/15/15/1675389600000/scBBsSOnAmB3Yz3Ul63Wgw/Kwn2xiiQ56t9oJX7rL4NKygIPNKLKPJdTWNf83hTzn-DicyzjTQ-VssAp43hRouTk2Ymn7D8MtRhzYs3Opk_fZzmHqUCeUuinUv66vpiuP4/gQ2Lsr9j83uYuwxDm86nZ6GvMCNxyMzJX2n8LDjdlP4),Climate Chain Coalition,2,checked,,,,,"Initiative,MRV",0,
